City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Saint-Philippe,-21.3585,55.7679,73.4,78,20,4.61,RE,1620761261
Ponta do Sol,32.6667,-17.1,63.0,63,38,1.99,PT,1620761261
Kalmunai,7.4167,81.8167,81.37,79,97,8.88,LK,1620761165
Ardeşen,41.1911,40.9875,48.2,87,0,5.75,TR,1620761262
Bourne,52.7667,-0.3833,54.0,76,75,4.61,GB,1620761262
Port Elizabeth,-33.918,25.5701,57.2,94,40,9.22,ZA,1620761262
Constitución,-35.3333,-72.4167,63.12,53,34,10.8,CL,1620761156
Severo-Yeniseyskiy,60.3725,93.0408,27.73,92,0,3.13,RU,1620761263
Broken Hill,-31.95,141.4333,39.2,81,0,5.75,AU,1620761263
Tuktoyaktuk,69.4541,-133.0374,24.8,80,75,12.66,CA,1620761263
Sitka,57.0531,-135.33,44.6,93,75,4.61,US,1620761264
New Norfolk,-42.7826,147.0587,46.4,71,90,9.22,AU,1620761265
Namatanai,-3.6667,152.4333,78.3,81,81,2.55,PG,1620761265
Clyde River,70.4692,-68.5914,24.8,80,20,6.91,CA,1620761266
Faanui,-16.4833,-151.75,82.69,74,94,17.87,PF,1620761266
Lebu,-37.6167,-73.65,56.44,60,95,9.8,CL,1620761266
Ilulissat,69.2167,-51.1,35.6,75,75,4.61,GL,1620761266
Hilo,19.7297,-155.09,73.4,78,90,3.44,US,1620760983
Geraldton,-28.7667,114.6,59.0,77,5,12.66,AU,1620761267
Xichang,27.8964,102.2634,61.84,84,92,2.68,CN,1620761267
Tiarei,-17.5333,-149.3333,84.2,65,75,16.11,PF,1620761267
Maneromango,-7.1988,38.7848,77.0,78,1,4.61,TZ,1620761268
Bluff,-46.6,168.3333,36.0,93,48,4.0,NZ,1620761268
Guerrero Negro,27.9769,-114.0611,67.66,55,0,13.6,MX,1620761268
Panjāb,34.388,67.0233,50.4,59,6,5.7,AF,1620761269
Sola,-13.8833,167.55,79.34,79,99,13.71,VU,1620761269
Bambous Virieux,-20.3428,57.7575,73.0,88,20,5.75,MU,1620761269
Chapais,49.7834,-74.8492,53.6,30,1,14.97,CA,1620761269
Kavieng,-2.5744,150.7967,79.86,80,95,3.87,PG,1620761270
Korla,41.7597,86.1469,68.97,31,100,23.67,CN,1620761270
Saint Paul Harbor,57.79,-152.4072,44.6,81,90,3.44,US,1620761270
Paranaíba,-19.6772,-51.1908,89.96,24,48,2.35,BR,1620761271
Leningradskiy,69.3833,178.4167,22.37,93,100,3.94,RU,1620761271
Wainwright,52.839,-110.8572,60.8,33,97,6.91,CA,1620761057
The Valley,18.217,-63.0578,86.0,74,40,18.41,AI,1620761271
Olafsvik,64.8945,-23.7142,38.25,61,73,7.94,IS,1620761272
Cherskiy,68.75,161.3,14.49,95,92,2.86,RU,1620761272
Marsh Harbour,26.5412,-77.0636,79.47,72,34,5.3,BS,1620761272
Saskylakh,71.9167,114.0833,8.29,95,100,8.1,RU,1620761273
Oranjemund,-28.55,16.4333,60.96,73,0,5.32,NA,1620761273
Simav,39.0882,28.9777,54.54,57,0,6.78,TR,1620761273
Hirara,24.8,125.2833,78.3,92,97,17.85,JP,1620761273
Yulara,-25.2406,130.9889,53.6,71,0,6.91,AU,1620761274
Bredasdorp,-34.5322,20.0403,55.4,88,0,3.44,ZA,1620761274
Masalli,34.7959,126.6553,62.6,51,100,6.91,KR,1620761274
Kaeo,-35.1,173.7833,64.0,97,53,1.99,NZ,1620761275
Fernández,-27.9204,-63.8935,67.23,41,5,6.6,AR,1620761275
Hay River,60.8156,-115.7999,37.4,69,99,8.05,CA,1620761046
Teahupoo,-17.8333,-149.2667,84.2,65,75,16.11,PF,1620761275
Hamilton,39.1834,-84.5333,61.0,41,40,10.36,US,1620761131
Mponela,-13.5319,33.7401,59.45,76,46,7.02,MW,1620761276
Kloulklubed,7.0419,134.2556,80.6,83,90,9.22,PW,1620761052
Nuevitas,21.5453,-77.2644,91.4,49,40,14.97,CU,1620761276
Ucluelet,48.9329,-125.5528,53.01,93,90,5.75,CA,1620761276
Stromness,58.965,-3.296,48.2,93,75,3.44,GB,1620761277
Burns Lake,54.2331,-125.7533,55.4,38,100,3.44,CA,1620761277
Shaowu,27.3409,117.4831,69.73,98,100,0.81,CN,1620761277
Codrington,-38.2667,141.9667,46.31,94,14,7.4,AU,1620761278
Fortuna,40.5982,-124.1573,66.0,77,1,12.66,US,1620761278
Port Hardy,50.6996,-127.4199,48.2,93,90,4.61,CA,1620761278
Ancud,-41.8697,-73.8203,53.6,71,0,10.36,CL,1620761278
Ottappālam,10.7667,76.3833,80.6,83,75,4.61,IN,1620761279
Solwezi,-12.1688,26.3894,56.59,70,4,2.82,ZM,1620761279
Adrar,20.5022,-10.0711,93.25,12,2,10.54,MR,1620761279
Henties Bay,-22.116,14.2845,71.47,48,0,11.92,NA,1620761280
Yanagawa,33.1667,130.4,64.99,63,100,6.15,JP,1620761280
Balkhash,46.844,74.9804,58.86,40,38,25.77,KZ,1620761280
Vao,-22.6667,167.4833,74.82,80,66,19.15,NC,1620761281
Kieta,-6.2167,155.6333,77.59,83,100,0.87,PG,1620761281
Elizabeth City,36.2946,-76.2511,68.0,52,75,9.22,US,1620761281
Kiryat Gat,31.61,34.7642,73.0,62,0,5.64,IL,1620761100
Najrān,17.4924,44.1277,87.8,18,40,4.61,SA,1620761282
Uthal,25.8072,66.6219,85.55,57,15,3.49,PK,1620761282
Dingle,10.9995,122.6711,78.46,86,87,5.97,PH,1620761282
Camapuã,-19.5314,-54.0439,91.17,19,7,4.09,BR,1620761283
Bambanglipuro,-7.95,110.2833,77.31,85,58,5.77,ID,1620761283
Lüderitz,-26.6481,15.1594,69.94,48,0,7.81,NA,1620761283
Esperance,-33.8667,121.9,59.0,82,100,17.27,AU,1620761283
Comodoro Rivadavia,-45.8667,-67.5,64.4,22,0,13.8,AR,1620761063
San Cristobal,7.7669,-72.225,86.0,48,75,23.02,VE,1620761284
Mumbai,19.0144,72.8479,86.0,74,40,6.91,IN,1620761057
El Dorado,38.7666,-120.5177,75.99,17,5,3.0,US,1620761284
Talnakh,69.4865,88.3972,33.17,99,100,7.05,RU,1620761284
Atocha,-20.9333,-66.2333,57.09,23,11,20.83,BO,1620761285
Mizdah,31.4451,12.9801,83.35,22,0,9.17,LY,1620761285
General Roca,-39.0333,-67.5833,59.0,47,0,11.43,AR,1620761285
Tautira,-17.7333,-149.15,84.2,65,75,16.11,PF,1620761286
Villa María,-32.4075,-63.2402,64.0,36,0,1.99,AR,1620761286
Tasiilaq,65.6145,-37.6368,28.4,86,40,4.61,GL,1620761286
Aykhal,66.0,111.5,14.32,96,47,5.12,RU,1620761287
Provideniya,64.3833,-173.3,35.6,87,90,8.95,RU,1620761287
Narrabri,-30.3167,149.7833,48.99,87,95,4.61,AU,1620761287
Bengkulu,-3.8004,102.2655,77.18,92,79,4.56,ID,1620761288
Hashtrūd,37.4779,47.0508,59.47,37,38,6.4,IR,1620761288
Keti Bandar,24.1447,67.4497,83.28,79,2,18.12,PK,1620761288
Puquio,-14.7,-74.1333,63.97,39,71,4.68,PE,1620761288
East London,-33.0153,27.9116,59.0,94,20,6.91,ZA,1620761289
Innisfail,-17.5333,146.0333,70.83,94,100,4.61,AU,1620761289
Stephenville,32.2207,-98.2023,57.2,94,90,6.91,US,1620761005
Te Anau,-45.4167,167.7167,35.04,89,16,3.42,NZ,1620761289
Bathsheba,13.2167,-59.5167,84.2,54,20,23.02,BB,1620761290
Peterhead,57.5058,-1.7981,54.0,71,9,11.5,GB,1620761290
Longyearbyen,78.2186,15.6401,24.8,74,75,9.22,SJ,1620761290
Puerto Ayora,-0.7393,-90.3518,80.6,74,75,18.41,EC,1620761291
Cayenne,4.9333,-52.3333,82.99,89,75,10.36,GF,1620761291
Liverpool,53.4106,-2.9779,55.4,67,20,8.05,GB,1620761158
Adré,13.4667,22.2,87.39,12,3,7.34,TD,1620761291
Mehamn,71.0357,27.8492,37.4,87,75,2.3,NO,1620761292
Cidreira,-30.1811,-50.2056,64.74,60,100,11.12,BR,1620761292
Labuhan,-6.8844,112.2051,77.9,86,49,7.02,ID,1620761292
Tongren,27.7172,109.1853,66.94,96,93,1.66,CN,1620761292
Baharly,38.4362,57.4316,77.56,45,0,5.44,TM,1620761293
La Serena,-29.9078,-71.2542,57.2,82,75,12.66,CL,1620761293
Aklavik,68.2191,-135.0107,32.0,64,75,6.91,CA,1620761293
Bodmin,50.4715,-4.7243,50.0,81,75,11.5,GB,1620761294
Leshukonskoye,64.8989,45.7622,50.76,92,100,5.39,RU,1620761294
Roald,62.5833,6.1333,55.0,71,0,12.66,NO,1620761294
Khovd,48.0056,91.6419,46.65,36,3,0.72,MN,1620761294
Kuching,1.55,110.3333,78.8,94,20,1.14,MY,1620761295
Arys,42.4252,68.795,59.0,63,0,8.95,KZ,1620761295
Pecos,31.4229,-103.4932,86.0,26,1,12.66,US,1620761295
Sagua la Grande,22.8067,-80.0756,91.4,46,75,14.97,CU,1620761296
Hong Kong,22.2855,114.1577,84.99,84,99,10.38,HK,1620761148
Kondinskoye,59.6481,67.41,56.01,79,78,11.59,RU,1620761296
Mar del Plata,-38.0023,-57.5575,61.0,63,40,10.36,AR,1620761200
Muros,42.7762,-9.0603,55.0,89,100,19.57,ES,1620761296
San Quintín,30.4833,-115.95,64.72,62,2,10.63,MX,1620761297
Gobabis,-22.45,18.9667,61.27,33,0,9.04,NA,1620761297
Sakakah,29.9697,40.2064,91.4,9,40,11.5,SA,1620761297
Prince Rupert,54.3161,-130.3201,53.6,62,90,5.75,CA,1620761058
Hasaki,35.7333,140.8333,55.4,82,75,5.75,JP,1620761298
Cabo San Lucas,22.8909,-109.9124,93.0,42,40,3.44,MX,1620761298
Saint George,37.1041,-113.5841,78.01,13,1,5.75,US,1620761298
Taman',45.2117,36.7161,39.2,93,40,2.24,RU,1620761298
Husavik,66.0449,-17.3389,42.8,31,0,6.91,IS,1620761299
Ayan,56.45,138.1667,29.79,85,19,3.67,RU,1620761299
Dunedin,-45.8742,170.5036,44.01,69,100,8.01,NZ,1620761299
Boyabat,41.4689,34.7667,48.15,55,2,2.62,TR,1620761300
Coyhaique,-45.5752,-72.0662,50.0,62,0,4.61,CL,1620761300
Ostrovnoy,68.0531,39.5131,44.73,97,100,21.18,RU,1620761300
Puerto Limón,10.0,-83.0333,84.2,74,75,9.22,CR,1620761301
Vaitape,-16.5167,-151.75,82.71,74,99,17.69,PF,1620761301
Naze,28.3667,129.4833,72.01,90,100,11.52,JP,1620761301
Haines Junction,60.7522,-137.5108,50.0,34,40,3.44,CA,1620761302
Shiyan,32.6475,110.7781,64.31,86,19,1.9,CN,1620761302
Grand Gaube,-20.0064,57.6608,73.0,77,3,3.0,MU,1620761302
Chalmette,29.9427,-89.9634,71.6,88,90,11.5,US,1620761302
Unity,52.4501,-109.1682,60.1,28,100,10.02,CA,1620761303
Buin,-33.7333,-70.75,75.2,20,0,2.3,CL,1620761042
Bonthe,7.5264,-12.505,81.46,79,100,11.77,SL,1620761303
Zhigansk,66.7697,123.3711,25.23,84,9,15.57,RU,1620761303
Wamba,8.9333,8.6,81.37,60,48,2.64,NG,1620761304
Palauig,15.435,119.9045,82.58,74,93,2.95,PH,1620761304
Coruripe,-10.1256,-36.1756,77.67,79,40,15.14,BR,1620761304
Hīt,33.6416,42.8251,84.85,28,100,2.57,IQ,1620761305
Suárez,2.954,-76.6964,78.66,70,82,3.29,CO,1620761305
Souillac,-20.5167,57.5167,69.8,88,20,5.75,MU,1620761305
Meulaboh,4.1363,96.1285,78.24,87,100,2.98,ID,1620761305
Kahului,20.8947,-156.47,78.8,57,20,19.57,US,1620761067
Pimentel,-6.8367,-79.9342,75.2,53,0,24.16,PE,1620761306
Āsosa,10.0667,34.5333,60.94,78,68,3.2,ET,1620761306
Piney Green,34.716,-77.3202,69.01,60,90,5.75,US,1620761306
Khani,41.9563,42.9566,48.2,76,0,3.44,GE,1620761307
The Pas,53.8251,-101.2541,69.8,12,1,13.8,CA,1620761307
Tuensang,26.2833,94.8333,63.03,94,100,2.55,IN,1620761307
Būlaevo,54.9056,70.4439,55.96,47,98,5.66,KZ,1620761308
Airai,-8.9266,125.4092,55.56,86,13,3.47,TL,1620761308
Karratha,-20.7377,116.8463,78.1,39,3,7.61,AU,1620761308
Bariloche,-41.1456,-71.3082,50.0,50,0,8.05,AR,1620761309
Aktas,49.7789,72.9608,42.8,70,0,2.24,KZ,1620761309
Baghdad,33.3406,44.4009,82.4,30,40,5.75,IQ,1620761192
Murgab,37.4966,61.9714,69.8,40,7,9.35,TM,1620761309
Tomigusuku,26.185,127.675,77.0,94,75,17.27,JP,1620761114
Carnarvon,-24.8667,113.6333,62.6,94,0,5.75,AU,1620761310
Chokurdakh,70.6333,147.9167,18.14,97,100,5.01,RU,1620761310
Sijunjung,-0.6876,100.9537,73.83,99,100,1.57,ID,1620761310
Betsiamites,48.9413,-68.646,51.8,61,1,12.66,CA,1620761310
Kashgar,39.4547,75.9797,69.8,13,40,15.66,CN,1620761311
Marzuq,14.4,46.4667,80.2,54,94,6.31,YE,1620761311
Neyshabur,36.2133,58.7958,66.24,46,1,5.5,IR,1620761311
Churapcha,62.0025,132.4325,43.14,88,95,8.19,RU,1620761312
Datong,40.0936,113.2914,58.87,44,46,3.87,CN,1620761312
Baní,18.2833,-70.3333,89.6,62,75,11.5,DO,1620761312
Merauke,-8.4667,140.3333,77.23,90,100,9.4,ID,1620761105
Yelizovo,53.1873,158.3805,33.8,100,75,2.24,RU,1620761313
Komarikhinskiy,58.0979,57.1163,59.0,67,0,4.27,RU,1620761313
Ribeira Grande,38.5167,-28.7,66.2,63,20,10.36,PT,1620761313
Mount Gambier,-37.8333,140.7667,44.6,93,12,1.14,AU,1620761314
Pacific Grove,36.6177,-121.9166,63.0,63,1,5.75,US,1620761314
Road Town,18.4167,-64.6167,82.99,78,40,11.5,VG,1620761314
Kyabram,-36.3167,145.05,46.99,84,4,8.01,AU,1620761314
Kinango,-4.1372,39.3153,78.8,78,20,6.91,KE,1620761315
Kangaatsiaq,68.3065,-53.4641,32.97,94,100,12.57,GL,1620761315
Arman',59.7,150.1667,35.78,87,48,1.34,RU,1620761315
Yangi Marg`ilon,40.4272,71.7189,68.0,60,0,4.88,UZ,1620761316
Flinders,-34.5833,150.8552,54.0,91,96,1.01,AU,1620761316
Salalah,17.0151,54.0924,84.2,79,20,4.61,OM,1620761316
Galesong,-5.3166,119.3661,75.2,94,20,2.3,ID,1620761317
Pavlivka,49.4414,28.4596,55.63,77,0,7.14,UA,1620761317
Balabac,7.9868,117.0645,82.36,80,31,9.55,PH,1620761317
Galle,6.0367,80.217,81.18,78,100,0.96,LK,1620761317
Yar-Sale,66.8333,70.8333,30.88,89,90,6.46,RU,1620761318
Leninogorsk,54.6026,52.4609,60.87,62,71,2.84,RU,1620761318
Port-Cartier,50.0334,-66.8654,50.0,50,75,5.75,CA,1620761318
Silver City,32.7701,-108.2803,75.2,9,1,4.61,US,1620761319
Shubarkuduk,49.1447,56.4872,63.68,52,100,16.26,KZ,1620761319
Elgin,42.0373,-88.2812,59.0,35,75,11.5,US,1620761319
Chanute,37.6792,-95.4572,60.8,51,90,10.36,US,1620761320
Herbeumont,49.7809,5.2358,50.0,94,100,1.99,BE,1620761320
Ambon City,-3.6954,128.1814,75.2,94,40,4.61,ID,1620761320
Gladstone,-23.85,151.25,68.0,94,40,4.61,AU,1620761320
Mokhsogollokh,61.4681,128.9203,39.04,93,100,5.14,RU,1620761321
Rūdsar,37.1376,50.288,59.0,94,75,6.33,IR,1620761132
Singaraja,-8.112,115.0882,80.19,80,55,1.3,ID,1620761321
Koubia,11.5833,-11.9,78.85,53,100,3.89,GN,1620761321
Mayo,38.8876,-76.5119,66.99,55,90,11.5,US,1620761322
Matara,5.9485,80.5353,79.47,83,100,2.84,LK,1620761322
Krasnogvardeyskiy,57.3793,62.3195,61.0,43,87,3.89,RU,1620761322
George Town,5.4112,100.3354,80.6,89,40,2.3,MY,1620761246
Panacan,9.2463,118.4082,77.0,94,20,4.61,PH,1620761323
Oyotún,-6.8519,-79.3036,75.2,53,0,24.16,PE,1620761323
Zeya,53.75,127.2667,48.51,80,100,8.37,RU,1620761324
Aswān,24.0934,32.907,88.25,10,0,16.4,EG,1620761046
Clemencia,10.5665,-75.325,93.2,62,40,16.11,CO,1620761324
Devils Lake,48.1128,-98.8651,60.8,18,1,6.91,US,1620761324
Dhule,20.9,74.7833,88.77,26,15,9.48,IN,1620761324
Diplo,24.4667,69.584,83.77,55,0,14.65,PK,1620761047
Barabinsk,55.3571,78.357,49.91,54,5,7.0,RU,1620761325
Nobeoka,32.5833,131.6667,61.0,86,100,1.01,JP,1620761325
Krasnyy Yar,46.5331,48.3456,51.8,66,0,1.77,RU,1620761325
Maliig,13.8456,120.1503,83.75,77,78,18.63,PH,1620761326
Maningrida,-12.0667,134.2667,70.74,80,95,8.52,AU,1620761326
Manzhouli,49.6,117.4333,41.97,81,100,29.06,CN,1620761326
Laminusa,5.5549,120.9136,83.97,75,41,9.08,PH,1620761327
Sibolga,1.7427,98.7792,78.28,87,100,2.71,ID,1620761327
Tiksi,71.6872,128.8694,14.02,99,100,0.98,RU,1620761327
Meshcherino,55.1957,38.36,64.4,48,0,15.66,RU,1620761327
Erenhot,43.6475,111.9767,48.79,34,96,9.24,CN,1620761328
Finschhafen,-6.6024,147.8681,77.29,87,100,4.61,PG,1620761328
Uspenka,48.3903,39.1619,46.08,92,100,15.5,UA,1620761328
Skibbereen,51.55,-9.2667,44.6,93,75,12.66,IE,1620761329
Paita,-5.0892,-81.1144,82.4,54,0,19.57,PE,1620761329
Christchurch,-43.5333,172.6333,45.0,93,90,14.97,NZ,1620761058
Japura,-0.3167,102.35,75.15,98,97,1.52,ID,1620761329
Tateyama,34.9833,139.8667,59.0,75,100,13.33,JP,1620761329
Vanimo,-2.6741,141.3028,77.86,87,100,2.37,PG,1620761330
São Filipe,14.8961,-24.4956,76.68,66,0,7.36,CV,1620761330
Narganá,9.4428,-78.5906,84.51,74,100,9.06,PA,1620761330
Mildura,-34.2,142.15,44.6,93,0,6.91,AU,1620761331
Srednekolymsk,67.45,153.6833,19.51,96,99,1.43,RU,1620761331
Vitória da Conquista,-14.8661,-40.8394,73.47,41,0,7.07,BR,1620761235
Bogo,11.0517,124.0055,79.88,83,27,6.06,PH,1620761331
Bhag,29.0415,67.8239,94.35,13,0,5.68,PK,1620761332
Birjand,32.8663,59.2211,66.2,26,0,11.5,IR,1620761332
Gayny,60.3071,54.3241,50.79,56,100,2.68,RU,1620761332
Maceió,-9.6658,-35.7353,78.8,73,75,11.5,BR,1620761332
Rabo de Peixe,37.8,-25.5833,64.4,77,20,13.8,PT,1620761333
Port Blair,11.6667,92.75,83.48,75,12,2.95,IN,1620761333
Soligalich,59.0778,42.2864,51.15,75,26,3.29,RU,1620761333
Nabire,-3.3667,135.4833,75.65,92,92,3.22,ID,1620761334
King City,36.2127,-121.126,84.99,32,0,7.0,US,1620761334
Barahan,13.0121,120.762,81.77,69,59,2.73,PH,1620761334
Nemuro,43.3236,145.575,36.21,89,95,10.87,JP,1620761335
High Level,58.5169,-117.136,51.8,50,75,5.75,CA,1620761335
Siilinjärvi,63.0833,27.6667,62.6,51,0,11.5,FI,1620761335
Estrela,-28.0611,-50.9383,55.51,98,100,4.29,BR,1620761335
Cabedelo,-6.9811,-34.8339,80.6,83,20,13.8,BR,1620761336
Krasnoborsk,61.5598,45.934,53.46,83,33,6.22,RU,1620761336
Havre-St-Pierre,50.2334,-63.5986,48.2,66,90,5.75,CA,1620761336
Bilma,18.6853,12.9164,96.69,7,1,3.83,NE,1620761337
São Lourenço do Oeste,-26.3592,-52.8511,59.04,94,100,5.48,BR,1620761337
Lichinga,-13.3128,35.2406,54.68,90,17,5.32,MZ,1620761337
Port Macquarie,-31.4333,152.9167,57.0,99,100,1.01,AU,1620761193
Maswa,-2.6833,33.9833,63.32,92,100,3.58,TZ,1620761338
Dulce Grande,23.0,-102.1667,68.0,60,90,5.77,MX,1620761338
Port Moresby,-9.4431,147.1797,77.0,100,40,3.44,PG,1620761115
Broome,42.2506,-75.833,54.0,46,75,13.8,US,1620761338
Mercedes,-34.6515,-59.4307,64.0,46,2,4.0,AR,1620761339
Baruun-Urt,46.6806,113.2792,39.97,56,0,14.67,MN,1620761339
Sechura,-5.5569,-80.8222,80.15,50,0,14.72,PE,1620761339
Yerbogachën,61.2767,108.0108,28.24,82,62,6.49,RU,1620761339
Panabá,21.2833,-88.2667,99.14,28,0,13.11,MX,1620761340
Sinnamary,5.3833,-52.95,81.41,76,100,11.3,GF,1620761340
Kalakamati,-20.5929,27.3121,57.56,48,0,8.1,BW,1620761340
Tostedt,53.2833,9.7167,55.0,87,100,6.91,DE,1620761341
Sunnyside,46.3237,-120.0087,73.0,28,1,1.43,US,1620761341
Arrondissement de Saint-Denis,48.9167,2.3333,59.0,55,0,8.05,FR,1620761341
Cockburn Town,21.4612,-71.1419,84.2,65,40,17.27,TC,1620761341
Batticaloa,7.7102,81.6924,81.23,81,100,9.66,LK,1620761342
Ketchikan,55.3422,-131.6461,50.0,81,90,6.91,US,1620761106
Ocós,14.5094,-92.1933,93.2,62,1,11.5,GT,1620761342
Maudaha,25.6833,80.1167,91.44,27,36,4.38,IN,1620761342
Saraikela,22.7167,85.95,80.73,60,4,5.01,IN,1620761343
